matchID, participant, champ, Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced
2026610916 , 8 , Kassadin , 1 , 0 , 0 , 0 , 6 , 13 , 7 , 14843 , 12075 , 156268 , 106791 , 47914 , 27382 , 176 , 286 , 12 , 
2026610916 , 9 , Pantheon , 1 , 0 , 0 , 0 , 11 , 8 , 9 , 14222 , 12250 , 117805 , 22371 , 95250 , 25825 , 134 , 149 , 13 , 
2026610916 , 10 , Alistar , 1 , 0 , 0 , 0 , 5 , 28 , 5 , 14259 , 11975 , 46226 , 34802 , 9814 , 25432 , 28 , 1222 , 30 , 
2026610917 , 1 , Fiora , 0 , 0 , 0 , 0 , 2 , 0 , 7 , 9313 , 7750 , 91184 , 2735 , 86750 , 21137 , 164 , 71 , 7 , 
2026610917 , 2 , Amumu , 0 , 0 , 0 , 0 , 5 , 10 , 4 , 9794 , 9350 , 108205 , 81812 , 18406 , 22626 , 27 , 369 , 8 , 
2026610917 , 3 , Nami , 0 , 0 , 0 , 0 , 3 , 10 , 5 , 8514 , 7810 , 16974 , 11459 , 5226 , 14431 , 7 , 229 , 16 , 
2026610917 , 4 , Lucian , 0 , 0 , 0 , 0 , 5 , 3 , 3 , 11513 , 11350 , 142519 , 4029 , 138489 , 13107 , 238 , 13 , 12 , 
2026610917 , 5 , Fizz , 0 , 0 , 0 , 0 , 6 , 4 , 7 , 8877 , 8235 , 54813 , 39600 , 15213 , 18594 , 107 , 204 , 10 , 
2026610917 , 6 , Thresh , 1 , 0 , 0 , 0 , 2 , 11 , 3 , 8527 , 7250 , 24688 , 12980 , 9496 , 15174 , 31 , 138 , 16 , 
2026610917 , 7 , Zed , 1 , 1 , 0 , 0 , 3 , 10 , 7 , 10234 , 8725 , 95312 , 4585 , 88869 , 15602 , 135 , 51 , 7 , 
2026610917 , 8 , MissFortune , 1 , 0 , 0 , 0 , 0 , 10 , 3 , 10705 , 9350 , 122161 , 7247 , 114914 , 10300 , 193 , 57 , 11 , 
2026610917 , 9 , MasterYi , 1 , 0 , 0 , 0 , 10 , 4 , 6 , 14082 , 11550 , 206433 , 26553 , 158944 , 25782 , 85 , 1099 , 7 , 
2026610917 , 10 , Ryze , 1 , 0 , 0 , 0 , 11 , 4 , 2 , 13211 , 11450 , 123225 , 102713 , 20120 , 14566 , 193 , 86 , 15 , 
2026610922 , 1 , Nocturne , 0 , 0 , 0 , 0 , 3 , 5 , 8 , 7462 , 7275 , 80186 , 3906 , 69464 , 22544 , 14 , 443 , 6 , 
2026610922 , 2 , Viktor , 0 , 0 , 0 , 0 , 4 , 0 , 6 , 7718 , 6825 , 81894 , 68417 , 12907 , 12469 , 132 , 66 , 9 , 
2026610922 , 3 , Alistar , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 5742 , 5250 , 15373 , 9179 , 4382 , 14843 , 29 , 300 , 5 , 
2026610922 , 4 , Lucian , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 7565 , 6650 , 81830 , 1369 , 80460 , 11181 , 157 , 5 , 8 , 
2026610922 , 5 , Vladimir , 0 , 0 , 0 , 0 , 4 , 4 , 6 , 8480 , 8050 , 91441 , 83478 , 7962 , 21898 , 140 , 292 , 8 , 
2026610922 , 6 , MissFortune , 1 , 0 , 1 , 0 , 5 59056 , 19179 , 24959 , 109 , 462 , 7 , 
2026610924 , 8 , 0 , 0 , 0 , 0 , 0 , 2 , 5 , 7838 , 7100 , 89602 , 15514 , 74087 , 18103 , 145 , 248 , 9 , 
2026610924 , 9 , 0 , 0 , 0 , 0 , 3 , 2 , 10 , 8095 , 7625 , 70037 , 2581 , 67455 , 24142 , 127 , 26 , 8 , 
2026610924 , 10 , 0 , 0 , 0 , 0 , 2 , 3 , 5 , 7623 , 7435 , 32215 , 13814 , 13822 , 18504 , 52 , 312 , 3 , 
2026610926 , 1 , 1 , 0 , 0 , 0 , 12 , 7 , 9 , 15587 , 14150 , 168968 , 20285 , 132332 , 24904 , 191 , 507 , 8 , 
2026610926 , 2 , 1 , 0 , 0 , 0 , 13 , 5 , 7 , 14784 , 13425 , 173507 , 39279 , 126615 , 29254 , 62 , 708 , 31 , 
2026610926 , 3 , 1 , 0 , 0 , 0 , 5 , 10 , 11 , 12343 , 10550 , 105210 , 90470 , 13112 , 23268 , 109 , 690 , 9 , 
2026610926 , 4 , 1 , 0 , 1 , 0 , 13 , 7 , 6 , 15426 , 13250 , 152337 , 3570 , 141637 , 38327 , 191 , 171 , 4 , 
2026610926 , 5 , 1 , 0 , 0 , 0 , 6 , 13 , 7 , 11867 , 10900 , 47768 , 34762 , 8857 , 28848 , 42 , 778 , 11 , 
2026610926 , 6 , 0 , 1 , 0 , 0 , 15 , 16 , 11 , 14415 , 14400 , 123530 , 0 , 120434 , 35891 , 140 , 6349 , 7 , 
2026610926 , 7 , 0 , 0 , 0 , 0 , 11 , 9 , 8 , 13274 , 13100 , 156597 , 22558 , 114517 , 35527 , 59 , 3357 , 7 , 
2026610926 , 8 , 0 , 0 , 0 , 0 , 7 , 4 , 14 , 11988 , 11000 , 139405 , 54101 , 71752 , 28355 , 171 , 1554 , 8 , 
2026610926 , 9 , 0 , 0 , 0 , 0 , 5 , 18 , 9 , 11971 , 11000 , 99082 , 91025 , 7350 , 15895 , 81 , 1891 , 10 , 
2026610926 , 10 , 0 , 0 , 0 , 0 , 2 , 13 , 7 , 9726 , 9400 , 76379 , 13531 , 61784 , 31923 , 73 , 4502 , 6 , 
